ID,DateDone,Age,Gender,InformationUseful,VideoDuration,ImproveExerciseKnowledge,UnderstandExerciseImportance,KnowHowToExercise,RecommendVideo,HealthExpertsUseful
1,27-08-22 11:59,50-59,Male,5,4,4,4,4,4,4
2,29-08-22 8:03,Below50,Male,5,4,5,4,5,4,4
3,29-08-22 9:52,Below50,Female,5,5,5,5,5,5,5
4,29-08-22 13:02,Below50,Female,5,5,5,5,5,5,5
5,29-08-22 13:16,Below50,Male,5,4,5,5,5,5,4
6,29-08-22 17:30,Below50,Female,5,3,4,5,5,5,4
7,31-08-22 20:08,50-59,Female,5,5,5,5,5,5,5
8,31-08-22 20:08,50-59,Female,5,5,5,5,5,5,5
9,31-08-22 21:43,50-59,Male,3,3,4,5,4,4,4
10,31-08-22 21:42,50-59,Female,4,4,4,4,4,3,4
11,31-08-22 22:47,50-59,Female,5,5,5,5,5,5,5
12,01-09-22 7:30,60-69,Female,5,5,5,5,5,5,5
13,01-09-22 8:19,50-59,Male,5,4,4,5,4,5,4
14,01-09-22 8:45,60-69,Female,5,4,5,5,5,5,5
15,01-09-22 8:49,Below50,Male,4,4,4,4,4,4,4
16,01-09-22 8:52,60-69,Male,5,5,5,5,5,5,5
17,01-09-22 9:01,50-59,Female,4,3,4,4,4,3,3
18,01-09-22 9:15,Below50,Male,4,3,5,5,5,4,5
19,01-09-22 9:23,50-59,Male,4,3,4,4,4,3,3
20,01-09-22 9:58,50-59,Female,5,5,5,4,4,5,4
21,01-09-22 11:00,50-59,Male,5,4,5,5,5,4,5
22,01-09-22 11:51,Below50,Female,4,4,4,5,4,4,3
23,01-09-22 12:06,Below50,Female,5,5,5,5,5,5,5
24,01-09-22 12:50,50-59,Male,4,4,5,5,4,5,5
25,01-09-22 13:02,50-59,Male,4,3,4,4,4,4,4
26,01-09-22 13:28,50-59,Female,4,3,5,5,5,4,4
27,01-09-22 13:53,Below50,Male,4,3,4,5,4,3,4
28,01-09-22 15:15,50-59,Female,5,4,4,4,4,4,5
29,01-09-22 15:41,60-69,Female,4,4,4,4,4,4,4
30,01-09-22 18:12,50-59,Female,5,5,5,5,5,5,5
31,01-09-22 19:12,50-59,Female,4,3,4,4,4,4,4
32,01-09-22 19:15,50-59,Female,5,4,4,5,5,4,4
33,01-09-22 19:19,60-69,Female,5,3,4,4,4,4,4
34,01-09-22 19:23,60-69,Female,4,4,4,4,4,4,4
35,01-09-22 20:40,50-59,Female,4,4,5,5,4,4,4
36,02-09-22 2:01,60-69,Male,4,4,4,4,4,0,4
37,02-09-22 9:54,70-79,Female,5,5,5,5,5,5,5
38,02-09-22 10:14,60-69,Female,4,4,4,4,4,4,4
39,02-09-22 11:23,50-59,Female,5,4,4,4,5,4,5
40,03-09-22 19:37,60-69,Female,5,5,5,5,5,5,5
